Date,Adj Close,Close,High,Low,Open,Volume
2019-12-31,292.163818359375,293.6499938964844,293.67999267578125,289.5199890136719,289.92999267578125,25201400
2020-01-02,298.8299560546875,300.3500061035156,300.6000061035156,295.19000244140625,296.239990234375,33870100
2020-01-03,295.9247131347656,297.42999267578125,300.5799865722656,296.5,297.1499938964844,36580700
2020-01-06,298.28271484375,299.79998779296875,299.9599914550781,292.75,293.7900085449219,29596800
2020-01-07,296.8798828125,298.3900146484375,300.8999938964844,297.4800109863281,299.8399963378906,27218000
2020-01-08,301.6555480957031,303.19000244140625,304.44000244140625,297.1600036621094,297.1600036621094,33019800
2020-01-09,308.06298828125,309.6300048828125,310.42999267578125,306.20001220703125,307.239990234375,42527100
2020-01-10,308.7593994140625,310.3299865722656,312.6700134277344,308.25,310.6000061035156,35161200
2020-01-13,315.3558654785156,316.9599914550781,317.07000732421875,311.1499938964844,311.6400146484375,30383000
2020-01-14,311.0975341796875,312.67999267578125,317.57000732421875,312.1700134277344,316.70001220703125,40488600
2020-01-15,309.7643127441406,311.3399963378906,315.5,309.54998779296875,311.8500061035156,30480900
2020-01-16,313.6445617675781,315.239990234375,315.70001220703125,312.0899963378906,313.5899963378906,27207300
2020-01-17,317.116943359375,318.7300109863281,318.739990234375,315.0,316.2699890136719,34454100
2020-01-21,314.9678649902344,316.57000732421875,319.0199890136719,316.0,317.19000244140625,27664200
2020-01-22,316.0921630859375,317.70001220703125,319.989990234375,317.30999755859375,318.5799865722656,25458100
2020-01-23,317.6144104003906,319.2300109863281,319.55999755859375,315.6499938964844,317.9200134277344,26118000
2020-01-24,316.69903564453125,318.30999755859375,323.3299865722656,317.5199890136719,320.25,36634400
2020-01-27,307.38641357421875,308.95001220703125,311.7699890136719,304.8800048828125,310.05999755859375,40485000
2020-01-28,316.0821838378906,317.69000244140625,318.3999938964844,312.19000244140625,312.6000061035156,40558500
2020-01-29,322.6985168457031,324.3399963378906,327.8500061035156,321.3800048828125,324.45001220703125,54057300
2020-01-30,322.23089599609375,323.8699951171875,324.0899963378906,318.75,320.5400085449219,31685800
2020-01-31,307.943603515625,309.510009765625,322.67999267578125,308.2900085449219,320.92999267578125,49897100
