symbol,date,adjClose,close,high,low,Open,Volume
MSFT,31/12/2018,99.54019165,101.5699997,102.4000015,100.4400024,101.2900009,33173800
MSFT,2/1/2019,99.09918976,101.1200027,101.75,98.94000244,99.55000305,35329300
MSFT,3/1/2019,95.45352936,97.40000153,100.1900024,97.19999695,100.0999985,42579100
MSFT,4/1/2019,99.89300537,101.9300003,102.5100021,98.93000031,99.72000122,44060600
MSFT,7/1/2019,100.020401,102.0599976,103.2699966,100.9800034,101.6399994,35656100
MSFT,8/1/2019,100.7456131,102.8000031,103.9700012,101.7099991,103.0400009,31514400
MSFT,9/1/2019,102.1862259,104.2699966,104.8799973,103.2399979,103.8600006,32280800
MSFT,10/1/2019,101.5296326,103.5999985,103.75,102.3799973,103.2200012,30067600
MSFT,11/1/2019,100.7456131,102.8000031,103.4400024,101.6399994,103.1900024,28314200
MSFT,14/1/2019,100.0106049,102.0500031,102.8700027,101.2600021,101.9000015,28437100
MSFT,15/1/2019,102.9114532,105.0100021,105.0500031,101.8799973,102.5100021,31587600
MSFT,16/1/2019,103.2740555,105.3799973,106.2600021,104.9599991,105.2600021,29853900
MSFT,17/1/2019,103.9992752,106.1200027,106.6299973,104.7600021,105,28393000
MSFT,18/1/2019,105.5574951,107.7099991,107.9000015,105.9100037,107.4599991,37427600
MSFT,22/1/2019,103.5680618,105.6800003,107.0999985,104.8600006,106.75,32371300
MSFT,23/1/2019,104.5774689,106.7099991,107.0400009,105.3399963,106.1200027,25874300
MSFT,24/1/2019,104.0776672,106.1999969,107,105.3399963,106.8600006,23164800
MSFT,25/1/2019,105.0282822,107.1699982,107.8799973,106.1999969,107.2399979,31225600
MSFT,28/1/2019,102.9800491,105.0800018,106.4800034,104.6600037,106.2600021,29476700
MSFT,29/1/2019,100.8828278,102.9400024,104.9700012,102.1699982,104.8799973,31490500
MSFT,30/1/2019,104.2540741,106.3799973,106.3799973,104.3300018,104.6200027,49471900
MSFT,31/1/2019,102.3430405,104.4300003,105.2200012,103.1800003,103.8000031,55636400
MSFT,1/2/2019,100.7260132,102.7799988,104.0999985,102.3499985,103.7799988,35535700
MSFT,4/2/2019,103.6268539,105.7399979,105.8000031,102.7699966,102.8700027,31315100
MSFT,5/2/2019,105.0772858,107.2200012,107.2699966,105.9599991,106.0599976,27325400
MSFT,6/2/2019,103.9110641,106.0299988,107,105.5299988,107,20609800
MSFT,7/2/2019,103.1662521,105.2699966,105.5899963,104.2900009,105.1900024,29760700
MSFT,8/2/2019,103.5582657,105.6699982,105.7799988,104.2600021,104.3899994,21461100
MSFT,11/2/2019,103.1466446,105.25,106.5800018,104.9700012,106.1999969,18914100
MSFT,12/2/2019,104.753891,106.8899994,107.1399994,105.4800034,106.1399994,25056600
MSFT,13/2/2019,104.6754761,106.8099976,107.7799988,106.7099991,107.5,18394900
MSFT,14/2/2019,104.7636795,106.9000015,107.2900009,105.6600037,106.3099976,21784700
MSFT,15/2/2019,106.0572968,108.2200012,108.3000031,107.3600006,107.9100037,26606900
MSFT,19/2/2019,106.0083008,108.1699982,108.6600037,107.7799988,107.7900009,18038500
MSFT,20/2/2019,105.4571457,107.1500015,107.9400024,106.2900009,107.8600006,21607700
MSFT,21/2/2019,107.6814499,109.4100037,109.4800034,106.8700027,106.9000015,29063200
MSFT,22/2/2019,109.2167892,110.9700012,111.1999969,109.8199997,110.0500031,27763200
MSFT,25/2/2019,109.8269958,111.5899963,112.1800003,111.2600021,111.7600021,23750600
MSFT,26/2/2019,110.5848312,112.3600006,113.2399979,111.1699982,111.2600021,21536700
MSFT,27/2/2019,110.3978348,112.1699982,112.3600006,110.8799973,111.6900024,21487100
MSFT,28/2/2019,110.2600479,112.0299988,112.8799973,111.7300034,112.0400009,29083900
MSFT,1/3/2019,110.7521515,112.5299988,113.0199966,111.6699982,112.8899994,23501200
MSFT,4/3/2019,110.486412,112.2600021,113.25,110.8000031,113.0199966,26608000
MSFT,5/3/2019,109.935257,111.6999969,112.3899994,111.2300034,112.25,19538300
MSFT,6/3/2019,109.9844742,111.75,112.6600037,111.4300003,111.8700027,17687000
MSFT,7/3/2019,108.6459579,110.3899994,111.5500031,109.8700027,111.4000015,25339000
MSFT,8/3/2019,108.764061,110.5100021,110.7099991,108.8000031,109.1600037,22818400
MSFT,11/3/2019,111.0474167,112.8300018,112.9499969,110.9800034,110.9899979,26491600
MSFT,12/3/2019,111.8249283,113.6200027,113.9899979,112.6500015,112.8199997,26132700
MSFT,13/3/2019,112.6910248,114.5,115,113.7799988,114.1299973,35513800
MSFT,14/3/2019,112.7796021,114.5899963,115.1999969,114.3300018,114.5400009,30763400
MSFT,15/3/2019,114.0787506,115.9100037,117.25,114.5899963,115.3399963,54681100
MSFT,18/3/2019,115.7125168,117.5699997,117.6100006,116.0500031,116.1699982,31207600
MSFT,19/3/2019,115.7912598,117.6500015,118.4400024,116.9899979,118.0899963,37588700
MSFT,20/3/2019,115.6633072,117.5199966,118.75,116.7099991,117.3899994,28113300
MSFT,21/3/2019,118.3206635,120.2200012,120.8199997,117.0899963,117.1399994,29854400
MSFT,22/3/2019,115.200737,117.0500031,119.5899963,117.0400009,119.5,33624500
MSFT,25/3/2019,115.8011169,117.6600037,118.0100021,116.3199997,116.5599976,27067100
MSFT,26/3/2019,116.0471497,117.9100037,118.7099991,116.8499985,118.6200027,26097700
MSFT,27/3/2019,114.9251556,116.7699966,118.2099991,115.5199966,117.8799973,22733400
MSFT,28/3/2019,115.0826263,116.9300003,117.5800018,116.1299973,117.4400024,18334800
MSFT,29/3/2019,116.076683,117.9400024,118.3199997,116.9599991,118.0699997,25399800
MSFT,1/4/2019,117.1396103,119.0199966,119.1100006,118.0999985,118.9499969,22789100
MSFT,2/4/2019,117.3069229,119.1900024,119.4800034,118.5199966,119.0599976,18142300
MSFT,3/4/2019,118.0746155,119.9700012,120.4300003,119.1500015,119.8600006,22860700
MSFT,4/4/2019,117.4742508,119.3600006,120.2300034,118.3799973,120.0999985,20112800
MSFT,5/4/2019,117.9958725,119.8899994,120.2300034,119.3700027,119.3899994,15826200
MSFT,8/4/2019,118.0352325,119.9300003,120.0199966,118.6399994,119.8099976,15116200
MSFT,9/4/2019,117.3955002,119.2799988,119.5400009,118.5800018,118.6299973,17612000
MSFT,10/4/2019,118.2911377,120.1900024,120.3499985,119.5400009,119.7600021,16477200
MSFT,11/4/2019,118.4289169,120.3300018,120.8499985,119.9199982,120.5400009,14209100
MSFT,12/4/2019,119.0391235,120.9499969,120.9800034,120.3700027,120.6399994,19745100
MSFT,15/4/2019,119.1375427,121.0500031,121.5800018,120.5699997,120.9400024,15792600
MSFT,16/4/2019,118.8619614,120.7699966,121.6500015,120.0999985,121.6399994,14071800
MSFT,17/4/2019,119.8461685,121.7699966,121.8499985,120.5400009,121.2399979,19300900
MSFT,18/4/2019,121.4208908,123.3700027,123.5199966,121.3000031,122.1900024,27991000
MSFT,22/4/2019,121.8047256,123.7600021,124,122.5699997,122.6200027,15648700
MSFT,23/4/2019,123.4581909,125.4400024,125.5800018,123.8300018,124.0999985,24025500
MSFT,24/4/2019,123.0349808,125.0100021,125.8499985,124.5199966,125.7900009,31257000
MSFT,25/4/2019,127.1095734,129.1499939,131.3699951,128.8300018,130.0599976,38033900
MSFT,26/4/2019,127.8378754,129.8899994,130.5200043,129.0200043,129.6999969,23654900
MSFT,29/4/2019,127.71978,129.7700043,130.1799927,129.3500061,129.8999939,16324200
MSFT,30/4/2019,128.5366669,130.6000061,130.6999969,129.3899994,129.8099976,24166500
MSFT,1/5/2019,125.8596268,127.8799973,130.6499939,127.6999969,130.5299988,26821700
MSFT,2/5/2019,124.2160187,126.2099991,128,125.5199966,127.9800034,27350200
MSFT,3/5/2019,126.8635178,128.8999939,129.4299927,127.25,127.3600006,24911100
MSFT,6/5/2019,126.1253586,128.1499939,128.5599976,126.1100006,126.3899994,24239800
MSFT,7/5/2019,123.536911,125.5199966,127.1800003,124.2200012,126.4599991,36017700
MSFT,8/5/2019,123.5270844,125.5100021,126.3700027,124.75,125.4400024,28419000
MSFT,9/5/2019,123.5172424,125.5,125.7900009,123.5699997,124.2900009,27235800
MSFT,10/5/2019,125.1214905,127.1299973,127.9300003,123.8199997,124.9100037,30915100
MSFT,13/5/2019,121.4011993,123.3499985,125.5500031,123.0400009,124.1100006,33944900
MSFT,14/5/2019,122.759407,124.7300034,125.8799973,123.6999969,123.8700027,25266300
MSFT,15/5/2019,124.4881287,126.0199966,126.7099991,123.6999969,124.2600021,24722700
MSFT,16/5/2019,127.3627548,128.9299927,129.3800049,126.4599991,126.75,30112200
MSFT,17/5/2019,126.5132217,128.0700073,130.4600067,127.9199982,128.3099976,25770500
MSFT,20/5/2019,124.6857071,126.2200012,127.5899963,125.7600021,126.5199966,23706900
